gene	corr	pvalue	gene_mod	pc_mod
ENSG00000011677.12	0.785971453546353	3.9576577512813e-21	1	6
ENSG00000172466.15	0.785998570208498	3.93705611328982e-21	10	6
ENSG00000115468.11	0.785999408964679	3.93642054119074e-21	3	1
ENSG00000106789.12	0.786196922762943	3.78949815275459e-21	1	6
ENSG00000132639.12	0.786356039090176	3.67502864382759e-21	1	6
ENSG00000187735.13	0.78643214510149	3.62147291439546e-21	6	10
ENSG00000136451.8	0.786573778518864	3.52381851276066e-21	6	1
ENSG00000185567.6	0.786731638162142	3.41799267218443e-21	1	6
ENSG00000108352.11	0.786794727167498	3.37656903287411e-21	1	6
ENSG00000149179.13	0.786816875226392	3.36214291092649e-21	1	10
ENSG00000126214.21	0.78683208903157	3.35226814862831e-21	1	13
ENSG00000267890.1	0.786867841939632	3.32917302416688e-21	1	6
ENSG00000187097.12	0.786973620927659	3.26174576281008e-21	6	10
ENSG00000117174.10	0.787000369964874	3.24490644816657e-21	10	1
ENSG00000104852.14	0.787151924314308	3.15108279529028e-21	8	11
ENSG00000152910.18	0.78726269068876	3.0841838344947e-21	3	14
ENSG00000170802.15	0.787321982276174	3.04894337177458e-21	3	10
ENSG00000105605.7	0.787466854050749	2.96447653758087e-21	1	6
ENSG00000163285.7	0.787707705144718	2.82905963245163e-21	4	13
ENSG00000163995.19	0.787811864986333	2.77237733268395e-21	1	6
ENSG00000172548.14	0.787839527223872	2.75751047740519e-21	3	12
ENSG00000228486.10	0.787866117970025	2.74329257312077e-21	3	8
ENSG00000137261.13	0.787882584301205	2.73452389342166e-21	1	10
ENSG00000103056.11	0.787950622886001	2.69857992928315e-21	1	6
ENSG00000182168.14	0.788000679161509	2.67242954272034e-21	3	12
ENSG00000151136.14	0.788057710630634	2.64293541824465e-21	1	6
ENSG00000126733.20	0.788189417589201	2.5760267828167e-21	1	6
ENSG00000163946.13	0.788237450588144	2.55203771286817e-21	3	10
ENSG00000055118.14	0.788371658517147	2.4861559808208e-21	1	6
ENSG00000170500.12	0.788374008863753	2.48501707609501e-21	1	6
ENSG00000160716.5	0.788407300123902	2.4689395487088e-21	1	6
ENSG00000104093.13	0.788422068184189	2.46183995701165e-21	1	6
ENSG00000164902.13	0.788528252432323	2.41137424587431e-21	5	11
